Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type_H,Type_L,Type_M,Target,Predict Target
300.6,309.4,1555,37.9,24,1,0,0,0,0
302.87484274337936,310.98616349157373,1352,51.22830169763685,7,0,0,0,1,1
299.2,310.7,1535,42.6,17,0,1,0,0,0
299.0,308.9,1615,30.6,14,0,1,0,0,0
301.2,309.9,1449,45.5,23,0,1,0,0,0
302.5,312.0,2052,18.9,40,0,1,0,0,0
298.9,308.9,1487,39.5,30,0,0,1,0,0
299.4429665780478,309.9966676236009,1356,52.09814230021684,212,0,0,0,1,1
298.22992290349003,309.27602973146173,1361,49.816183924481614,228,0,1,0,1,1
299.89938460466425,310.0530414060994,2505,13.215242601076366,156,0,1,0,1,1
301.7,311.1,1455,39.8,118,0,1,0,0,0
297.28941789932344,308.1289417899324,1362,52.615767159729366,214,0,1,0,1,1
297.6,308.5,1552,40.9,90,0,0,1,0,0
301.6,310.0,1869,22.9,18,0,1,0,0,0
300.8,309.7,1751,27.9,183,0,0,1,0,0
298.4,309.1,1417,40.6,121,0,1,0,0,0
301.0,312.0,1499,34.6,207,0,0,1,0,0
302.8538228292234,310.9594108735571,1350,49.21176088667332,8,0,0,0,1,1
301.46780949665816,311.0116444317738,1336,62.483568116401216,203,0,1,0,1,1
301.7761302526567,310.8761302526567,1531,37.3292323963685,206,0,0,0,1,1
300.7,311.0,1413,44.3,72,0,0,1,0,0
302.9,312.3,1339,52.1,145,0,0,1,0,0
302.38654081269647,310.3807551238212,1374,50.6077957586445,163,0,1,0,1,1
300.6194969300514,311.69069201813363,1399,49.53182451942661,221,0,0,0,1,1
302.2617803992145,310.8135430126526,1340,53.60167368455568,205,0,0,0,1,1
300.2,309.5,2183,17.8,39,0,1,0,0,0
297.9,307.6,1344,54.3,151,0,1,0,0,0
298.32555665592434,308.35673379548825,1313,60.24559920773446,199,0,1,0,1,1
298.9,310.0,1487,36.6,129,0,0,1,0,0
301.44174436816803,311.3165112636639,2689,10.8595789664411,132,0,0,0,1,1
300.6,310.7,1388,42.9,190,0,0,1,0,0
302.13071815062483,310.2615691096251,1377,52.1313821925017,117,0,0,0,1,1
302.1212145807512,310.8166801941316,1364,48.69101239155058,212,0,0,0,1,1
301.34922392060395,310.88442350496223,1280,65.89063214013099,12,0,0,0,1,1
297.7591765334086,308.2481131487498,1258,69.16295023590902,110,0,0,0,1,1
297.3,308.4,1339,52.1,36,0,1,0,0,0
301.0306546051259,311.0059923455606,1359,58.90467617672767,190,0,1,0,1,1
299.16186782550017,308.71569965917405,2565,12.8,104,0,0,0,1,1
302.2406615935413,311.00497830322286,1341,59.28259229038318,3,0,0,0,1,1
299.0830455179941,308.3457613794985,1542,37.34632390857915,203,0,0,0,1,1
298.8,309.9,1441,41.6,62,0,1,0,0,0
299.60336616579656,310.02542723469685,1436,48.14748830359709,229,0,1,0,1,1
300.7,310.3,1458,40.0,207,0,1,0,0,1
300.4,309.7,1314,50.2,179,0,1,0,0,0
302.10017935264545,310.34991032367725,1338,59.25188320277744,108,0,1,0,1,1
298.0463033385135,308.1778939586571,1283,60.98737853745777,212,0,1,0,1,1
298.4,309.5,1357,50.1,125,0,1,0,0,0
300.1,309.4,1563,40.8,28,1,0,0,0,0
302.2469266390555,311.16311966866635,1358,52.67316597638826,122,0,0,1,1,1
299.4,308.7,1289,60.5,104,0,0,1,0,0
302.6,310.3,1479,40.4,105,0,1,0,0,0
302.3,310.8,1511,48.1,24,0,1,0,0,0
302.6,312.3,1454,54.8,253,0,0,1,1,0
299.7,309.2,1645,30.8,137,0,1,0,0,0
302.3,311.6,1488,41.8,75,0,1,0,0,0
302.25412567392226,310.8269745057904,1450,44.46699460862176,210,0,1,0,1,1
301.6,311.2,1408,42.9,89,0,1,0,0,0
300.0389206575676,310.2359962998092,1321,67.33430811925278,18,0,1,0,1,1
300.1,310.6,1809,24.3,97,0,1,0,0,0
299.8,309.3,1386,49.4,116,0,1,0,0,0
301.69790956625866,310.19790956625866,1275,63.24459895423091,21,0,1,0,1,1
300.6,310.6,1497,38.2,83,0,1,0,0,0
301.7,311.3,1348,51.0,87,0,1,0,0,0
297.9,307.8,1499,37.5,78,0,1,0,0,0
297.5,308.4,1587,36.1,98,1,0,0,0,0
303.2903129813734,311.4903129813734,1373,47.32906105587974,60,0,0,0,1,1
302.5689031726259,311.6216036258581,2649,11.694599093535471,23,0,0,1,1,1
299.9,309.2,1658,34.8,16,0,1,0,0,0
298.5,309.5,1428,43.5,87,0,1,0,0,0
300.6,310.0,1658,34.7,88,0,1,0,0,0
300.3,309.3,1345,53.5,192,0,1,0,0,0
302.7,311.1,1418,43.4,130,1,0,0,0,0
300.8133846085845,310.2663580853787,2712,9.569888593695485,7,0,0,0,1,1
300.23051589865554,310.9900736998079,1232,64.83970520076826,194,0,1,0,1,1
302.2371501377038,310.55428328743204,1372,47.21217729275031,143,0,0,1,1,1
299.68903790782974,310.78686191328046,1376,53.62410017888978,215,0,1,0,1,1
302.7,310.5,1551,35.9,6,0,1,0,0,0
300.6902968189214,309.51828164523334,1417,51.30410621581622,230,0,0,0,1,1
301.31326030830587,311.11450862862915,1702,29.799375839838365,217,0,0,1,1,1
302.5,311.9,1414,51.6,205,0,0,1,0,0
298.05466454600463,308.77060837192266,1268,69.16767567948027,189,0,1,0,1,1
302.8,312.1,1958,20.3,56,0,1,0,0,0
298.7311039458769,309.6443425967577,1269,66.29280823002294,191,0,1,0,1,1
298.49317306979094,308.7555454839138,1421,60.41510542121608,118,0,0,1,1,1
297.5955561110895,308.3955561110895,1374,56.65523833332408,202,0,1,0,1,1
300.4,309.4,1487,38.9,185,1,0,0,0,0
302.0696431510955,311.18660731655643,1639,33.459821949669255,229,0,0,0,1,1
302.53488657496695,310.6914163115028,1335,56.25150213098307,176,0,0,0,1,1
303.3797569800319,311.4396759733759,1360,47.92955590406479,62,0,1,0,1,1
303.01966189274384,311.37495304065885,1237,55.13099553803199,225,0,1,0,1,1
298.9,309.6,1567,34.5,204,0,0,1,0,0
302.32671543973504,310.90927579052465,1362,47.957147010800256,39,0,1,0,1,1
302.4,311.6,1544,39.1,70,1,0,0,0,0
302.8,312.2,1682,30.9,58,0,1,0,0,0
298.8,308.7,1498,39.5,89,0,0,1,0,0
301.66275045124127,311.83748526757404,1370,57.66192543538771,209,0,1,0,1,1
300.6,310.4,1608,39.2,221,0,1,0,0,1
301.0655335373677,310.5062647682394,2777,7.429762767795067,20,0,1,0,1,1
302.0,311.1,1406,50.5,187,0,1,0,0,0
296.2,307.3,1477,35.2,53,0,0,1,0,0
298.9,310.0,1422,43.6,78,0,1,0,0,0
300.7,311.8,1443,43.7,217,0,1,0,0,0
298.4,308.6,1477,44.0,124,0,1,0,0,0
297.78544044448995,308.2715198518367,1366,52.07752170387824,218,0,1,0,1,1
300.1,311.5,1334,54.0,26,0,1,0,0,0
301.4,310.6,1648,30.7,90,0,1,0,0,0
302.6046005445163,312.3046005445163,1455,54.4089537161144,252,0,0,0,1,1
298.58811957203704,309.2292092510649,1358,50.93960142654308,227,0,1,0,1,1
296.4,307.4,1586,35.5,0,1,0,0,0,0
301.0,312.2,1629,32.6,69,0,0,1,0,0
303.0380661568031,313.03649376869896,1514,36.36193384319687,208,0,1,0,1,1
301.9,310.8,1906,21.7,62,0,1,0,0,0
302.30162462099304,310.7881829795935,1323,58.26661823322894,87,0,0,0,1,1
300.2,311.5,1432,43.6,127,1,0,0,0,0
297.5,308.3,1435,40.3,197,0,1,0,0,0
300.2447993399157,310.5047375983513,2493,13.294953693826695,162,0,1,0,1,1
298.0378577804294,308.2338015896691,1347,58.80405619076029,202,0,1,0,1,1
302.8,312.4,1368,49.5,10,0,1,0,0,0
302.1253598134603,310.03227612622214,1354,45.30057307009491,6,0,0,0,1,1
300.4,311.3,1495,51.2,175,0,1,0,0,0
300.0279101596072,311.31626952117847,1690,29.10466309852688,217,0,0,1,1,1
303.3,311.8,1315,62.0,42,0,1,0,1,1
298.2713323495107,307.66849620052653,1327,60.64007347855548,186,0,1,0,1,1
298.5,310.0,1804,26.1,22,0,1,0,0,0
297.5,308.4,1723,27.3,67,0,1,0,0,0
298.9,310.1,2109,18.0,61,0,1,0,0,0
298.1,308.9,1479,43.4,105,0,0,1,0,0
301.31724804888285,309.70439129161383,2676,10.77084654656552,84,0,0,1,1,1
301.8,310.5,1593,34.9,139,0,1,0,0,0
303.3,311.3,1389,53.9,39,0,1,0,0,0
303.3106047424016,311.7176745706693,1366,51.22372199468536,109,0,0,0,1,1
303.7,312.7,1395,53.9,123,0,1,0,0,0
298.9,310.1,1366,62.7,161,1,0,0,0,0
300.7,310.533638620871,2040,19.39986916248388,215,0,0,1,1,1
298.8,309.6,1309,57.4,185,1,0,0,0,0
301.9027082309602,310.385891107018,1324,48.65406234644026,75,0,0,0,1,1
302.0768568897747,311.4365177780546,1229,66.9575351132149,183,0,0,0,1,1
301.6569559249729,311.5955140238722,1332,55.62106811595096,196,0,0,0,1,1
298.5,309.7,1561,35.3,208,1,0,0,0,0
301.1896006197853,310.49090549149986,1687,30.45844207264288,227,0,0,1,1,1
295.7,306.3,1462,44.3,37,0,0,1,0,0
300.1,309.4,1560,47.7,26,0,1,0,0,0
300.9963904474354,310.73268302223534,2637,12.07590238814115,25,0,0,0,1,1
302.0189968069716,310.19749201742894,1374,47.99426357037075,175,0,1,0,1,1
301.0,310.9,1765,24.2,179,0,0,1,0,0
302.83969864497635,312.2343684088178,1420,48.814159969035984,215,0,0,0,1,1
301.9,310.9,1421,46.2,26,0,0,1,0,0
300.1,309.1,1533,38.0,26,0,0,1,0,0
304.1,313.3,1480,38.4,72,0,0,1,0,0
