UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Type_H,Type_L,Type_M
1,M14860,298.1,308.6,1551,42.8,0,0,0,0,1
2,L47181,298.2,308.7,1408,46.3,3,0,0,1,0
3,L47182,298.1,308.5,1498,49.4,5,0,0,1,0
4,L47183,298.2,308.6,1433,39.5,7,0,0,1,0
5,L47184,298.2,308.7,1408,40.0,9,0,0,1,0
6,M14865,298.1,308.6,1425,41.9,11,0,0,0,1
7,L47186,298.1,308.6,1558,42.4,14,0,0,1,0
8,L47187,298.1,308.6,1527,40.2,16,0,0,1,0
9,M14868,298.3,308.7,1667,28.6,18,0,0,0,1
10,M14869,298.5,309.0,1741,28.0,21,0,0,0,1
11,H29424,298.4,308.9,1782,23.9,24,0,1,0,0
12,H29425,298.6,309.1,1423,44.3,29,0,1,0,0
13,M14872,298.6,309.1,1339,51.1,34,0,0,0,1
14,M14873,298.6,309.2,1742,30.0,37,0,0,0,1
15,L47194,298.6,309.2,2035,19.6,40,0,0,1,0
16,L47195,298.6,309.2,1542,48.4,42,0,0,1,0
17,M14876,298.6,309.2,1311,46.6,44,0,0,0,1
18,M14877,298.7,309.2,1410,45.6,47,0,0,0,1
19,H29432,298.8,309.2,1306,54.5,50,0,1,0,0
20,M14879,298.9,309.3,1632,32.5,55,0,0,0,1
21,H29434,298.9,309.3,1375,42.7,58,0,1,0,0
22,L47201,298.8,309.3,1450,44.8,63,0,0,1,0
23,M14882,298.9,309.3,1581,30.7,65,0,0,0,1
24,L47203,299.0,309.4,1758,25.7,68,0,0,1,0
25,M14884,299.0,309.4,1561,37.3,70,0,0,0,1
26,L47205,299.0,309.5,1861,23.3,73,0,0,1,0
27,L47206,299.1,309.5,1512,39.0,75,0,0,1,0
28,H29441,299.1,309.4,1811,24.6,77,0,1,0,0
29,L47208,299.1,309.4,1439,44.2,82,0,0,1,0
30,L47209,299.0,309.4,1693,30.1,84,0,0,1,0
31,M14890,299.1,309.5,1339,48.2,86,0,0,0,1
32,L47211,299.0,309.4,1798,25.5,89,0,0,1,0
33,L47212,299.0,309.4,1419,48.3,91,0,0,1,0
